data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,nuovi_casi,totale_casi
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014005,Ardenno,3270,1,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014006,Bema,130,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014007,Berbenno di Valtellina,4308,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014008,Bianzone,1273,1,3
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014009,Bormio,4036,0,10
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014010,Buglio in Monte,2091,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014011,Caiolo,1035,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014012,Campodolcino,1037,0,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014013,Caspoggio,1500,0,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014014,Castello dell'Acqua,643,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014015,Castione Andevenno,1562,2,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014016,Cedrasco,455,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014017,Cercino,754,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014018,Chiavenna,7297,1,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014019,Chiesa in Valmalenco,2591,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014020,Chiuro,2524,1,4
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014021,Cino,373,0,0
